sex,age,mean,sd,height
male,0,23.97,4.72,1.779993689
male,1,24.3651,4.6884,1.779993689
male,2,24.8677,4.6482,1.779993689
male,3,25.3968,4.6058,1.779993689
male,4,25.8713,4.5676,1.779993689
male,5,26.21,4.54,1.779993689
male,6,26.3574,4.5275,1.779993689
male,7,26.3596,4.5267,1.779993689
male,8,26.2881,4.5321,1.779993689
male,9,26.2143,4.5384,1.779993689
male,10,26.21,4.54,1.779993689
male,11,26.3256,4.5329,1.779993689
male,12,26.5283,4.518,1.779993689
male,13,26.7642,4.4977,1.779993689
male,14,26.9794,4.4743,1.779993689
male,15,27.12,4.45,1.779993689
male,16,27.1507,4.4276,1.779996394
male,17,27.1095,4.4115,1.78
male,18,27.0529,4.4066,1.780003606
male,19,27.0376,4.4178,1.780006311
male,20,27.12,4.45,1.780007213
male,21,27.3376,4.5054,1.78000541
male,22,27.6514,4.5753,1.78
male,23,28.0034,4.6486,1.779990984
male,24,28.3356,4.7139,1.779981968
male,25,28.59,4.76,1.77997746
male,26,28.7239,4.7792,1.779981968
male,27,28.7565,4.7783,1.78
male,28,28.722,4.7679,1.780032458
male,29,28.6551,4.7583,1.780065817
male,30,28.59,4.76,1.780082948
male,31,28.5541,4.7809,1.780066719
male,32,28.5459,4.8185,1.78
male,33,28.5566,4.8677,1.779879185
male,34,28.5775,4.9232,1.779754763
male,35,28.6,4.98,1.779690749
male,36,28.6166,5.032,1.779751157
male,37,28.6255,5.069,1.78
male,38,28.6261,5.0801,1.780450803
male,39,28.6178,5.0541,1.780915131
male,40,28.6,4.98,1.781154057
male,41,28.5732,4.8526,1.780928655
male,42,28.5422,4.6905,1.78
male,43,28.5125,4.5181,1.778237602
male,44,28.4898,4.3597,1.775944713
male,45,28.48,4.24,1.773533024
male,46,28.4859,4.1766,1.771414223
male,47,28.4995,4.1605,1.77
male,48,28.5103,4.1762,1.76955879
male,49,28.5073,4.2079,1.769786016
male,50,28.48,4.24,1.770233847
male,51,28.4217,4.2601,1.770454452
male,52,28.3419,4.2685,1.77
male,53,28.2543,4.2689,1.768567238
male,54,28.1724,4.2649,1.766431222
male,55,28.11,4.26,1.764011588
male,56,28.077,4.2572,1.761727969
male,57,28.0687,4.2565,1.76
male,58,28.077,4.2572,1.759132258
male,59,28.0935,4.2586,1.758969094
male,60,28.11,4.26,1.759239801
male,61,28.1199,4.2608,1.759673672
male,62,28.1232,4.2611,1.76
male,63,28.1216,4.261,1.760023729
male,64,28.1166,4.2606,1.759852401
male,65,28.11,4.26,1.759669209
male,66,28.11,4.26,1.759657344
male,67,28.11,4.26,1.76
male,68,28.11,4.26,1.760772826
male,69,28.11,4.26,1.761621302
male,70,28.11,4.26,1.762083365
male,71,28.11,4.26,1.761696952
male,72,28.11,4.26,1.76
male,73,28.11,4.26,1.756724967
male,74,28.11,4.26,1.752382391
male,75,28.11,4.26,1.747677332
male,76,28.11,4.26,1.743314849
male,77,28.11,4.26,1.74
male,78,28.11,4.26,1.738247306
male,79,28.11,4.26,1.737809133
male,80,28.11,4.26,1.738247306
male,81,28.11,4.26,1.739123653
male,82,28.11,4.26,1.74
male,83,28.11,4.26,1.740525808
male,84,28.11,4.26,1.740701078
male,85,28.11,4.26,1.740613443
male,86,28.11,4.26,1.740350539
male,87,28.11,4.26,1.74
male,88,28.11,4.26,1.74
male,89,28.11,4.26,1.74
male,90,28.11,4.26,1.74
male,91,28.11,4.26,1.74
male,92,28.11,4.26,1.74
male,93,28.11,4.26,1.74
male,94,28.11,4.26,1.74
male,95,28.11,4.26,1.74
male,96,28.11,4.26,1.74
male,97,28.11,4.26,1.74
male,98,28.11,4.26,1.74
male,99,28.11,4.26,1.74
male,100,28.11,4.26,1.74
female,0,24.23,5.11,1.639993661
female,1,24.5859,5.2348,1.639993661
female,2,25.0377,5.3947,1.639993661
female,3,25.5116,5.5652,1.639993661
female,4,25.9337,5.7218,1.639993661
female,5,26.23,5.84,1.639993661
female,6,26.3505,5.9022,1.639993661
female,7,26.341,5.9174,1.639993661
female,8,26.2713,5.9016,1.639993661
female,9,26.211,5.8705,1.639993661
female,10,26.23,5.84,1.639993661
female,11,26.3771,5.8226,1.639993661
female,12,26.6179,5.8173,1.639993661
female,13,26.8971,5.8197,1.639993661
female,14,27.1596,5.8254,1.639993661
female,15,27.35,5.83,1.639993661
female,16,27.4296,5.8303,1.639996377
female,17,27.4257,5.8278,1.64
female,18,27.382,5.8252,1.640003623
female,19,27.3422,5.825,1.640006339
female,20,27.35,5.83,1.640007245
female,21,27.4365,5.8421,1.640005434
female,22,27.582,5.8606,1.64
female,23,27.7543,5.8841,1.639990944
female,24,27.9211,5.911,1.639981887
female,25,28.05,5.94,1.639977359
female,26,28.1172,5.9686,1.639981887
female,27,28.1325,5.9903,1.64
female,28,28.1143,5.9978,1.640032603
female,29,28.0807,5.9835,1.640066111
female,30,28.05,5.94,1.640083318
female,31,28.0365,5.8636,1.640067017
female,32,28.0379,5.7661,1.64
female,33,28.0481,5.6626,1.639878646
female,34,28.0609,5.5688,1.639753669
female,35,28.07,5.5,1.639689369
female,36,28.071,5.4671,1.639750046
female,37,28.0669,5.4626,1.64
female,38,28.0622,5.4745,1.640452815
female,39,28.0617,5.491,1.640919214
female,40,28.07,5.5,1.641159206
female,41,28.0904,5.4927,1.640932798
female,42,28.1199,5.473,1.64
female,43,28.1543,5.448,1.638230096
female,44,28.1891,5.4246,1.635929476
female,45,28.22,5.41,1.633513808
female,46,28.2431,5.4088,1.631398761
female,47,28.2563,5.4157,1.63
female,48,28.258,5.4233,1.629586803
female,49,28.2464,5.4239,1.629842883
female,50,28.22,5.41,1.630305561
female,51,28.1785,5.3766,1.630512159
female,52,28.1277,5.3295,1.63
female,53,28.0745,5.277,1.628462692
female,54,28.0263,5.2277,1.626218993
female,55,27.99,5.19,1.623743948
female,56,27.9709,5.17,1.621512602
female,57,27.9661,5.165,1.62
female,58,27.9709,5.17,1.619522429
female,59,27.9804,5.18,1.619761146
female,60,27.99,5.19,1.620238648
female,61,27.9957,5.196,1.620477433
female,62,27.9976,5.198,1.62
female,63,27.9967,5.197,1.61848759
female,64,27.9938,5.194,1.616256423
female,65,27.99,5.19,1.61378146
female,66,27.99,5.19,1.611537665
female,67,27.99,5.19,1.61
female,68,27.99,5.19,1.609487209
female,69,27.99,5.19,1.609693162
female,70,27.99,5.19,1.61015551
female,71,27.99,5.19,1.610411906
female,72,27.99,5.19,1.61
female,73,27.99,5.19,1.608603574
female,74,27.99,5.19,1.60649093
female,75,27.99,5.19,1.604076499
female,76,27.99,5.19,1.601774712
female,77,27.99,5.19,1.6
female,78,27.99,5.19,1.599058493
female,79,27.99,5.19,1.598823117
female,80,27.99,5.19,1.599058493
female,81,27.99,5.19,1.599529247
female,82,27.99,5.19,1.6
female,83,27.99,5.19,1.600282452
female,84,27.99,5.19,1.600376603
female,85,27.99,5.19,1.600329527
female,86,27.99,5.19,1.600188301
female,87,27.99,5.19,1.6
female,88,27.99,5.19,1.6
female,89,27.99,5.19,1.6
female,90,27.99,5.19,1.6
female,91,27.99,5.19,1.6
female,92,27.99,5.19,1.6
female,93,27.99,5.19,1.6
female,94,27.99,5.19,1.6
female,95,27.99,5.19,1.6
female,96,27.99,5.19,1.6
female,97,27.99,5.19,1.6
female,98,27.99,5.19,1.6
female,99,27.99,5.19,1.6
female,100,27.99,5.19,1.6
