sex,age,nonDiseased,ihd.i,stroke.i,ihd.p,stroke.p,diabetes,cancerBreast,cancerColorectum,cancerLung,cancerStomach,cancerLiver,cancerKidney,cancerPancreas,cirrhosis
male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,76,-2791,-3969,-29468,-3484,-24597,-4136,-3157,-4060,-5036,-4119,-4541,-3695,-4408,-4356
male,77,-2796,-3974,-29498,-3489,-24628,-4141,-3162,-4065,-5041,-4125,-4546,-3700,-4413,-4362
male,78,-2802,-3979,-29529,-3494,-24658,-4146,-3167,-4070,-5046,-4130,-4551,-3705,-4418,-4367
male,79,-2807,-3985,-29559,-3499,-24689,-4151,-3172,-4075,-5051,-4135,-4556,-3710,-4423,-4372
male,80,-4007,-5185,-36639,-4699,-31768,-5351,-4372,-5275,-6251,-5335,-5756,-4910,-5623,-5572
male,81,-4012,-5190,-36669,-4705,-31799,-5357,-4378,-5280,-6256,-5340,-5761,-4915,-5629,-5577
male,82,-4017,-5195,-36700,-4710,-31830,-5362,-4383,-5286,-6262,-5345,-5767,-4921,-5634,-5582
male,83,-4022,-5200,-36730,-4715,-31860,-5367,-4388,-5291,-6267,-5350,-5772,-4926,-5639,-5587
male,84,-4027,-5205,-36761,-4720,-31891,-5372,-4393,-5296,-6272,-5355,-5777,-4931,-5644,-5593
male,85,-4033,-5210,-36791,-4725,-31921,-5377,-4398,-5301,-6277,-5361,-5782,-4936,-5649,-5598
male,86,-4038,-5216,-36822,-4730,-31952,-5382,-4403,-5306,-6282,-5366,-5787,-4941,-5654,-5603
male,87,-4043,-5221,-36852,-4736,-31982,-5388,-4409,-5311,-6287,-5371,-5792,-4946,-5660,-5608
male,88,-4048,-5226,-36883,-4741,-32013,-5393,-4414,-5317,-6293,-5376,-5798,-4952,-5665,-5613
male,89,-4053,-5231,-36913,-4746,-32043,-5398,-4419,-5322,-6298,-5381,-5803,-4957,-5670,-5618
male,90,-4058,-5236,-36944,-4751,-32074,-5403,-4424,-5327,-6303,-5387,-5808,-4962,-5675,-5624
male,91,-4064,-5241,-36974,-4756,-32104,-5408,-4429,-5332,-6308,-5392,-5813,-4967,-5680,-5629
male,92,-4069,-5247,-37005,-4761,-32135,-5413,-4434,-5337,-6313,-5397,-5818,-4972,-5685,-5634
male,93,-4074,-5252,-37035,-4767,-32165,-5419,-4440,-5342,-6318,-5402,-5823,-4977,-5691,-5639
male,94,-4079,-5257,-37066,-4772,-32196,-5424,-4445,-5348,-6324,-5407,-5829,-4983,-5696,-5644
male,95,-4084,-5262,-37096,-4777,-32226,-5429,-4450,-5353,-6329,-5412,-5834,-4988,-5701,-5650
male,96,-4089,-5267,-37127,-4782,-32257,-5434,-4455,-5358,-6334,-5418,-5839,-4993,-5706,-5655
male,97,-4095,-5272,-37157,-4787,-32287,-5439,-4460,-5363,-6339,-5423,-5844,-4998,-5711,-5660
male,98,-4100,-5278,-37188,-4792,-32318,-5444,-4465,-5368,-6344,-5428,-5849,-5003,-5717,-5665
male,99,-4105,-5283,-37218,-4798,-32348,-5450,-4471,-5373,-6349,-5433,-5854,-5008,-5722,-5670
male,100,-4110,-5288,-37249,-4803,-32379,-5455,-4476,-5379,-6355,-5438,-5860,-5014,-5727,-5675
female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,76,-2810,-3988,-29579,-3503,-24709,-4155,-3176,-4079,-5055,-4138,-4560,-3714,-4427,-4375
female,77,-2815,-3993,-29610,-3508,-24739,-4160,-3181,-4084,-5060,-4143,-4565,-3719,-4432,-4381
female,78,-2820,-3998,-29640,-3513,-24770,-4165,-3186,-4089,-5065,-4149,-4570,-3724,-4437,-4386
female,79,-2826,-4003,-29671,-3518,-24800,-4170,-3191,-4094,-5070,-4154,-4575,-3729,-4442,-4391
female,80,-4026,-5203,-36750,-4718,-31880,-5370,-4391,-5294,-6270,-5354,-5775,-4929,-5642,-5591
female,81,-4031,-5209,-36781,-4723,-31911,-5375,-4396,-5299,-6275,-5359,-5780,-4934,-5648,-5596
female,82,-4036,-5214,-36811,-4729,-31941,-5381,-4402,-5304,-6280,-5364,-5785,-4939,-5653,-5601
female,83,-4041,-5219,-36842,-4734,-31972,-5386,-4407,-5310,-6286,-5369,-5791,-4945,-5658,-5606
female,84,-4046,-5224,-36872,-4739,-32002,-5391,-4412,-5315,-6291,-5374,-5796,-4950,-5663,-5612
female,85,-4051,-5229,-36903,-4744,-32033,-5396,-4417,-5320,-6296,-5380,-5801,-4955,-5668,-5617
female,86,-4057,-5234,-36933,-4749,-32063,-5401,-4422,-5325,-6301,-5385,-5806,-4960,-5673,-5622
female,87,-4062,-5240,-36964,-4754,-32094,-5406,-4427,-5330,-6306,-5390,-5811,-4965,-5679,-5627
female,88,-4067,-5245,-36994,-4760,-32124,-5412,-4433,-5335,-6312,-5395,-5817,-4970,-5684,-5632
female,89,-4072,-5250,-37025,-4765,-32155,-5417,-4438,-5341,-6317,-5400,-5822,-4976,-5689,-5637
female,90,-4077,-5255,-37055,-4770,-32185,-5422,-4443,-5346,-6322,-5405,-5827,-4981,-5694,-5643
female,91,-4082,-5260,-37086,-4775,-32216,-5427,-4448,-5351,-6327,-5411,-5832,-4986,-5699,-5648
female,92,-4088,-5265,-37116,-4780,-32246,-5432,-4453,-5356,-6332,-5416,-5837,-4991,-5704,-5653
female,93,-4093,-5271,-37147,-4785,-32277,-5437,-4459,-5361,-6337,-5421,-5842,-4996,-5710,-5658
female,94,-4098,-5276,-37177,-4791,-32307,-5443,-4464,-5367,-6343,-5426,-5848,-5001,-5715,-5663
female,95,-4103,-5281,-37208,-4796,-32338,-5448,-4469,-5372,-6348,-5431,-5853,-5007,-5720,-5668
female,96,-4108,-5286,-37238,-4801,-32368,-5453,-4474,-5377,-6353,-5436,-5858,-5012,-5725,-5674
female,97,-4113,-5291,-37269,-4806,-32399,-5458,-4479,-5382,-6358,-5442,-5863,-5017,-5730,-5679
female,98,-4119,-5296,-37300,-4811,-32429,-5463,-4484,-5387,-6363,-5447,-5868,-5022,-5735,-5684
female,99,-4124,-5302,-37330,-4816,-32460,-5468,-4490,-5392,-6368,-5452,-5873,-5027,-5741,-5689
female,100,-4129,-5307,-37361,-4822,-32490,-5474,-4495,-5398,-6374,-5457,-5879,-5032,-5746,-5694
